timestamp,station_id,station_name,status,consecutive_offline,event_type,message
2026-07-23T12:37:41.230936+00:00,KNJBERKE13,Island Beach State Park Bathhouse #1,CONNECTED,0,check,ok
2026-07-23T12:37:42.079267+00:00,KNJWARET3,Sedge Island,CONNECTED,0,check,ok
2026-07-23T12:37:42.709105+00:00,KNJMANAH111,Stafford Municipal Complex,CONNECTED,0,check,ok
2026-07-23T12:37:43.055390+00:00,KNJMANAH7,MATES/Stafford,OFFLINE,1,check,ok
2026-07-23T12:37:43.830301+00:00,KNJBAYHE18,Bayhead Fire Company #1,CONNECTED,0,check,ok
2026-07-23T12:37:44.674980+00:00,KNJLONGB89,LBT Marine Field Station,CONNECTED,0,check,ok
2026-07-23T12:37:45.557712+00:00,KNJLONGB21,LBI Foundation,CONNECTED,0,check,ok
2026-07-23T12:37:46.726736+00:00,KNJBEACH64,Beachwood Yacht Club,CONNECTED,0,check,ok
2026-07-23T12:37:47.350522+00:00,KNJOCEAN178,Ocean Gate Yacht Club,CONNECTED,0,check,ok
2026-07-23T12:37:48.173529+00:00,KNJSEASI44,Seaside Park Yacht Club,OFFLINE,1,check,ok
2026-07-23T12:37:48.657224+00:00,Ecocenter,Ecocenter,OFFLINE,1,check,ok
2026-07-23T12:40:02.384035+00:00,KNJBERKE13,Island Beach State Park Bathhouse #1,CONNECTED,0,check,ok
2026-07-23T12:40:02.952474+00:00,KNJWARET3,Sedge Island,CONNECTED,0,check,ok
2026-07-23T12:40:03.370803+00:00,KNJMANAH111,Stafford Municipal Complex,CONNECTED,0,check,ok
2026-07-23T12:40:03.731360+00:00,KNJMANAH7,MATES/Stafford,OFFLINE,2,check,ok
2026-07-23T12:40:04.179746+00:00,KNJBAYHE18,Bayhead Fire Company #1,CONNECTED,0,check,ok
2026-07-23T12:40:04.557899+00:00,KNJLONGB89,LBT Marine Field Station,CONNECTED,0,check,ok
2026-07-23T12:40:04.915530+00:00,KNJLONGB21,LBI Foundation,CONNECTED,0,check,ok
2026-07-23T12:40:05.251664+00:00,KNJBEACH64,Beachwood Yacht Club,CONNECTED,0,check,ok
2026-07-23T12:40:05.640548+00:00,KNJOCEAN178,Ocean Gate Yacht Club,CONNECTED,0,check,ok
2026-07-23T12:40:06.047466+00:00,KNJSEASI44,Seaside Park Yacht Club,OFFLINE,2,check,ok
2026-07-23T12:40:06.304614+00:00,Ecocenter,Ecocenter,OFFLINE,2,check,ok
2026-07-23T12:41:31.199634+00:00,KNJBERKE13,Island Beach State Park Bathhouse #1,CONNECTED,0,check,ok
2026-07-23T12:41:31.796286+00:00,KNJWARET3,Sedge Island,CONNECTED,0,check,ok
2026-07-23T12:41:32.320320+00:00,KNJMANAH111,Stafford Municipal Complex,CONNECTED,0,check,ok
2026-07-23T12:41:32.800535+00:00,KNJMANAH7,MATES/Stafford,OFFLINE,3,offline_alert,"Threshold Reached, email sent"
2026-07-23T12:41:34.581664+00:00,KNJBAYHE18,Bayhead Fire Company #1,CONNECTED,0,check,ok
2026-07-23T12:41:35.215012+00:00,KNJLONGB89,LBT Marine Field Station,CONNECTED,0,check,ok
2026-07-23T12:41:35.698587+00:00,KNJLONGB21,LBI Foundation,CONNECTED,0,check,ok
2026-07-23T12:41:36.102273+00:00,KNJBEACH64,Beachwood Yacht Club,CONNECTED,0,check,ok
2026-07-23T12:41:36.569709+00:00,KNJOCEAN178,Ocean Gate Yacht Club,CONNECTED,0,check,ok
2026-07-23T12:41:37.098163+00:00,KNJSEASI44,Seaside Park Yacht Club,OFFLINE,3,offline_alert,"Threshold Reached, email sent"
2026-07-23T12:41:38.809993+00:00,Ecocenter,Ecocenter,OFFLINE,3,offline_alert,"Threshold Reached, email sent"
2026-07-25T21:01:28.066776+00:00,KNJBERKE13,Island Beach State Park Bathhouse #1,CONNECTED,0,check,ok
2026-07-25T21:01:29.187571+00:00,KNJWARET3,Sedge Island,CONNECTED,0,check,ok
2026-07-25T21:01:30.169129+00:00,KNJMANAH111,Stafford Municipal Complex,CONNECTED,0,check,ok
2026-07-25T21:01:32.928029+00:00,KNJBAYHE18,Bayhead Fire Company #1,CONNECTED,0,check,ok
2026-07-25T21:01:33.805119+00:00,KNJLONGB89,LBT Marine Field Station,CONNECTED,0,check,ok
2026-07-25T21:01:34.426705+00:00,KNJLONGB21,LBI Foundation,CONNECTED,0,check,ok
2026-07-25T21:01:35.377520+00:00,KNJBEACH64,Beachwood Yacht Club,CONNECTED,0,check,ok
2026-07-25T21:01:36.030634+00:00,KNJOCEAN178,Ocean Gate Yacht Club,CONNECTED,0,check,ok
2026-07-25T21:01:36.987193+00:00,KNJSEASI44,Seaside Park Yacht Club,RECOVERED,3,recovered,Station_recovered
2026-07-25T21:03:14.264033+00:00,KNJBERKE13,Island Beach State Park Bathhouse #1,CONNECTED,0,check,ok
2026-07-25T21:03:14.734479+00:00,KNJWARET3,Sedge Island,CONNECTED,0,check,ok
2026-07-25T21:03:15.188625+00:00,KNJMANAH111,Stafford Municipal Complex,CONNECTED,0,check,ok
2026-07-25T21:03:15.575988+00:00,KNJMANAH7,MATES/Stafford,OFFLINE,5,check,ok
2026-07-25T21:03:16.034825+00:00,KNJBAYHE18,Bayhead Fire Company #1,CONNECTED,0,check,ok
2026-07-25T21:03:16.583688+00:00,KNJLONGB89,LBT Marine Field Station,CONNECTED,0,check,ok
2026-07-25T21:03:17.177563+00:00,KNJLONGB21,LBI Foundation,CONNECTED,0,check,ok
2026-07-25T21:03:17.830780+00:00,KNJBEACH64,Beachwood Yacht Club,CONNECTED,0,check,ok
2026-07-25T21:03:18.245380+00:00,KNJOCEAN178,Ocean Gate Yacht Club,CONNECTED,0,check,ok
2026-07-25T21:03:18.799078+00:00,KNJSEASI44,Seaside Park Yacht Club,CONNECTED,0,check,ok
2026-07-25T21:03:19.157136+00:00,Ecocenter,Ecocenter,OFFLINE,5,check,ok
2026-08-27T03:44:49.760447+00:00,KNJBERKE13,Island Beach State Park Bathhouse #1,CONNECTED,0,check,ok
2026-08-27T03:44:50.643516+00:00,KNJWARET3,Sedge Island,CONNECTED,0,check,ok
2026-08-27T03:44:51.121754+00:00,KNJMANAH111,Stafford Municipal Complex,CONNECTED,0,check,ok
2026-08-27T03:44:52.838596+00:00,KNJBAYHE18,Bayhead Fire Company #1,CONNECTED,0,check,ok
2026-08-27T03:44:53.369698+00:00,KNJLONGB89,LBT Marine Field Station,CONNECTED,0,check,ok
2026-08-27T03:44:53.861885+00:00,KNJLONGB21,LBI Foundation,CONNECTED,0,check,ok
2026-08-27T03:44:54.392258+00:00,KNJBEACH64,Beachwood Yacht Club,CONNECTED,0,check,ok
2026-08-27T03:44:55.028991+00:00,KNJOCEAN178,Ocean Gate Yacht Club,CONNECTED,0,check,ok
2026-08-27T03:44:55.617321+00:00,KNJSEASI44,Seaside Park Yacht Club,CONNECTED,0,check,ok
2026-08-27T03:45:36.783046+00:00,,,error,,active_station_api_error,Active Station API Request Error: Expecting value: line 1 column 1 (char 0)
2026-08-27T03:45:37.734065+00:00,KNJBERKE13,Island Beach State Park Bathhouse #1,CONNECTED,0,check,ok
2026-08-27T03:45:38.195068+00:00,KNJWARET3,Sedge Island,CONNECTED,0,check,ok
2026-08-27T03:45:38.570501+00:00,KNJMANAH111,Stafford Municipal Complex,CONNECTED,0,check,ok
2026-08-27T03:45:38.939831+00:00,KNJMANAH7,MATES/Stafford,OFFLINE,7,check,ok
2026-08-27T03:45:39.222975+00:00,KNJBAYHE18,Bayhead Fire Company #1,CONNECTED,0,check,ok
2026-08-27T03:45:39.640744+00:00,KNJLONGB89,LBT Marine Field Station,CONNECTED,0,check,ok
2026-08-27T03:45:39.998204+00:00,KNJLONGB21,LBI Foundation,CONNECTED,0,check,ok
2026-08-27T03:45:40.408504+00:00,KNJBEACH64,Beachwood Yacht Club,CONNECTED,0,check,ok
2026-08-27T03:45:40.731336+00:00,KNJOCEAN178,Ocean Gate Yacht Club,CONNECTED,0,check,ok
2026-08-27T03:45:41.135201+00:00,KNJSEASI44,Seaside Park Yacht Club,CONNECTED,0,check,ok
